name,product_type,availability,price,original_price,discount_amount,discount_percentage,black_friday_discount,image,reviews_count,rating
"Samsung Celular Galaxy M15 5G Azul Claro 4GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$2,475.23","$3,999.00","$1,523.77",38.10%,No,https://m.media-amazon.com/images/I/61dqezq8ZVL._AC_UL320_.jpg,314,4.6 de 5 estrellas
"SAMSUNG Galaxy A06 Negro 4GB RAM 64GB, Nacional con Garantía",smartphone,Available,"$1,829.00","$2,599.00",$770.00,29.63%,No,https://m.media-amazon.com/images/I/61Kpp0oa8kL._AC_UL320_.jpg,3,4.2 de 5 estrellas
"Samsung Celular Galaxy A35 5G Violeta 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$4,799.00","$6,299.00","$1,500.00",23.81%,No,https://m.media-amazon.com/images/I/61YAjWqc0DL._AC_UL320_.jpg,70,4.6 de 5 estrellas
"Samsung Celular Galaxy M55 5G Verde 8GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$4,997.07","$7,999.00","$3,001.93",37.53%,No,https://m.media-amazon.com/images/I/61NGj+turzL._AC_UL320_.jpg,77,4.4 de 5 estrellas
"SAMSUNG Celular Galaxy M35 5G Azul Claro 6GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$4,199.00","$5,499.00","$1,300.00",23.64%,No,https://m.media-amazon.com/images/I/61n3Td68iIL._AC_UL320_.jpg,73,4.7 de 5 estrellas
SAMSUNG Smartphone A05 4+128GB LTE Negro Dual SIM,smartphone,Available,"$1,969.00","$2,999.00","$1,030.00",34.34%,No,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_UL320_.jpg,159,4.3 de 5 estrellas
SAMSUNG Galaxy A35 8GB 256GB 5G Negro,smartphone,Available,"$5,406.00","$5,406.00","$1,030.00",34.34%,No,https://m.media-amazon.com/images/I/61ljRHkT8DL._AC_UL320_.jpg,25,4.3 de 5 estrellas
"Samsung Celular Galaxy A55 5G Azul Claro 8GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$5,999.00","$7,999.00","$2,000.00",25.00%,No,https://m.media-amazon.com/images/I/61IW8xm4wXL._AC_UL320_.jpg,67,4.6 de 5 estrellas
"SAMSUNG Galaxy S24 FE 5G Grafito 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,"$11,999.00","$15,499.00","$3,500.00",22.58%,No,https://m.media-amazon.com/images/I/51+38FqDMGL._AC_UL320_.jpg,7,5.0 de 5 estrellas
"SAMSUNG Galaxy S24 +, Gris Marmol, 12GB_512GB",smartphone,Available,"$14,999.00","$23,999.00","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/31BH6QLbk9L._AC_UL320_.jpg,36,3.9 de 5 estrellas
Samsung Galaxy A55 5G Color Violeta Claro RAM 8GB_128GB l Internacional,smartphone,Available,"$6,837.75","$6,837.75","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/51i4ME0cxeL._AC_UL320_.jpg,43,4.1 de 5 estrellas
"SAMSUNG Celular Galaxy A25 5G 8GB 256GB 6.5"" FHD+ 120 Hz 50 MP Blue Black",smartphone,Available,"$4,199.00","$4,199.00","$9,000.00",37.50%,No,https://m.media-amazon.com/images/I/61RVVxjv26L._AC_UL320_.jpg,56,4.4 de 5 estrellas
"Samsung Smart TV 50"" 4K Crystal UHD (UN50DU8000FXZX)",tv,Available,"$7,895.00","$14,284.00","$6,389.00",44.73%,No,https://m.media-amazon.com/images/I/61QkKCod-DL._AC_UL320_.jpg,16,5.0 de 5 estrellas
"SAMSUNG Celular Galaxy A15 Amarillo 4GB RAM 128GB, Nacional con Garantía",smartphone,Out of Stock,N/A,0,"$6,389.00",44.73%,No,https://m.media-amazon.com/images/I/515RZmhJ3DL._AC_UL320_.jpg,52,4.6 de 5 estrellas
Samsung Galaxy A05S 4GB 128GB Violeta,smartphone,Available,"$2,999.00","$2,999.00","$6,389.00",44.73%,No,https://m.media-amazon.com/images/I/61+CTd3mcvL._AC_UL320_.jpg,12,4.1 de 5 estrellas
"SAMSUNG Audifonos inalámbricos Galaxy Buds3 Blanco, AI, Nacional con Garantía",another,Available,"$1,799.00","$2,499.00",$700.00,28.01%,No,https://m.media-amazon.com/images/I/51wYLUl3sbL._AC_UL320_.jpg,58,4.6 de 5 estrellas
"Samsung Galaxy S22 Ultra, 5G, desbloqueado de fábrica 128GB, SM-S908U1 (reacondicionado) (borgoña)",smartphone,Available,"$9,229.00","$9,229.00",$700.00,28.01%,No,https://m.media-amazon.com/images/I/61bteKquOYL._AC_UL320_.jpg,365,3.7 de 5 estrellas
"SAMSUNG Celular Galaxy S23 FE Menta 8GB RAM 256GB, AI, Nacional con Garantía",smartphone,Available,"$9,998.00","$12,999.00","$3,001.00",23.09%,No,https://m.media-amazon.com/images/I/41dLpiNFUfL._AC_UL320_.jpg,85,4.4 de 5 estrellas
Samsung Galaxy Tab A9 4GB_64GB Color Gris,tablet,Available,"$2,499.00","$2,699.00",$200.00,7.41%,No,https://m.media-amazon.com/images/I/5169txVgFWL._AC_UL320_.jpg,657,4.6 de 5 estrellas
Samsung Smartphone Galaxy A15 4G 6GB 128GB Negro Desbloqueado,smartphone,Available,"$3,799.00","$3,799.00",$200.00,7.41%,No,https://m.media-amazon.com/images/I/51jYEf9XY2L._AC_UL320_.jpg,x 12 meses sin intereses,No Rating
"HEUCYL Funda con Teclado Táctil para Samsung Galaxy Tab A9 Plus 11 Pulgadas 2023 (SM-X210/X216/X218), Teclado Bluetooth Desmontable Retroiluminado 7 Colores, Funda Delgada con Soporte,Black",case,Available,$610.89,$610.89,$200.00,7.41%,No,https://m.media-amazon.com/images/I/71L0OwijmlL._AC_UL320_.jpg,4,3.5 de 5 estrellas
"LAMA Retroiluminado de 7 Colores Funda con Teclado con Ratón para Samsung Galaxy S6 Lite de 10,4"", Funda con Teclado Desmontable para Galaxy S6 Lite de 10,4"" 2020/2022 (SM-P610/P615/P613/P619), Negro",case,Available,$629.88,$629.88,$200.00,7.41%,No,https://m.media-amazon.com/images/I/71giEhQamGL._AC_UL320_.jpg,503,4.6 de 5 estrellas
Samsung Galaxy A55 5G Color Negro RAM 8GB_128GB l Internacional,smartphone,Available,"$6,699.00","$6,699.00",$200.00,7.41%,No,https://m.media-amazon.com/images/I/61s7W4UjnoL._AC_UL320_.jpg,90,4.5 de 5 estrellas
Cartuchos de tóner MLT-D708S con Chip de Repuesto para Samsung MLT-D708S Cartucho de tóner Funciona con Impresora para Samsung MLT-D708S,another,Available,"$1,095.99","$1,095.99",$200.00,7.41%,No,https://m.media-amazon.com/images/I/71wfCIf7A9L._AC_UL320_.jpg,Hasta 12 meses de,No Rating
